course_in,distance,sector_n,gender_n,sisben,typerh_n,maritalstatus_mother_n,maritalstatus_father_n,social_class,type_etnia_n,age_frac,age,grade_n,brother_school,score_sisben,year,natural_sciences,social_sciences,peace_chair,arts,ethic,sports,religion,spanish,english,math,technology,entrepreneurship,date_dropout,Class
7,0.6963552321,1,1,1,2,1,1,2,0,12.7027777777778,13,11,1,0,2016,3.4,3.8,3.7,4.6,3.4,4,4,4.3,4.4,4.1,4.2,1,,0
7,0.7419928083,1,2,9,2,2,2,2,0,12.8583333333333,13,10,0,0,2016,3.1,4.4,3.3,4,3.2,4,4,4.3,4.1,3.3,4.1,1,,0
7,0.4972752685,1,2,2,8,2,2,2,0,13.0694444444444,13,11,2,40.5,2016,3.2,4.4,3.6,4.4,3.1,4,4.6,4.4,4.1,3.6,3.3,1,,0
7,0.2229495594,1,1,1,7,1,6,2,0,12.3444444444444,12,11,0,23,2016,3.5,4.5,3.6,4.1,4,3,4,4.3,4.1,4.2,3.7,1,,0
7,0.3805661143,3,1,2,8,2,2,2,0,12.8833333333333,12,8,0,32,2016,3,3.3,3.3,4.6,3.1,4,4,3.9,4,4,4.2,1,,0
7,0.2578418050,1,2,1,8,1,3,2,0,12.2222222222222,13,11,0,36,2016,3.8,4.4,4.4,4.6,3.7,4,4,4.3,4.3,3.6,4.4,1,,0
7,0.6829388267,1,1,9,8,1,1,1,1,14.9277777777778,15,11,1,0,2016,3,4.8,3.7,4.6,3,3.8,4,3.7,3,3.3,4,1,,0
7,0.2361801518,2,1,9,2,1,6,2,0,12.8388888888889,12,11,1,0,2016,4,4,4,3,4.5,3.5,4.5,4,5,3,4,1,,0
7,0.5831043164,1,2,1,8,1,2,2,0,12.9333333333333,12,10,0,55.16,2016,3.4,4.5,3,4.7,3.9,4,4,4.4,4.2,4.2,4.1,1,,0
8,0.8857423573,3,2,5,8,1,1,2,4,12.2750000000000,15,11,0,47,2016,3.9,3.8,3.6,4.2,4.1,4.1,4.1,3.6,4,3.9,3.7,1,,0
8,3.6190294676,1,2,9,6,1,1,1,0,15.7138888888889,15,11,1,37.15,2016,4.8,4.3,4.5,4.8,4.5,5,4.5,4.5,4.9,4.4,4.8,1,,0
8,0.3535651661,3,1,2,8,2,2,2,0,12.5166666666667,13,11,1,0,2016,3.6,3.5,3.8,4.4,3.7,4,3.8,3.9,3.7,3.4,4.1,1,,0
8,0.4130547974,1,1,1,7,1,3,2,0,12.5277777777778,15,11,2,40,2016,4,3,3.5,3.3,3.5,4.1,3.1,3.2,2.5,3.5,3.8,1,,0
8,0.6182244920,1,1,2,8,3,3,2,0,12.6611111111111,14,11,0,0,2016,4.3,3.5,3.8,3.7,4.1,4.7,3.8,4.1,3.9,3.7,4.3,1,,0
8,0.1581526898,1,1,2,8,2,2,2,0,12.6138888888889,14,11,0,0,2016,4.1,3.2,3.4,3.7,4.4,3.6,3.6,3.9,3.4,3.2,4.4,1,,0
8,0.2111436794,1,1,9,2,2,2,2,0,14.9222222222222,14,11,1,0,2016,3.6,3.6,3.8,3.8,3.5,3.3,3.2,3.5,3.5,3.3,3.5,1,,0
8,0.6278472275,1,1,2,7,3,3,2,0,12.4222222222222,14,11,0,2,2016,4.2,3.2,3.4,4.7,4,3.6,3.8,3.6,3.6,3.5,4.4,1,,0
8,0.6510617540,1,2,2,8,4,4,2,4,14.2027777777778,16,9,5,0,2016,3.4,2.6,3.1,3.2,3.2,3.3,3.1,3,1.7,3.1,3.1,1,,0
8,0.4049716599,1,1,2,2,2,2,2,0,12.3555555555556,14,11,1,0,2016,3.6,3.2,3.1,4,3.5,3.6,3.2,3.4,3,3,3.7,1,,0
8,1.3709580110,1,1,1,2,2,2,1,0,12.8194444444444,14,11,0,34.44,2016,4.2,4,3.9,4.2,3.6,3.4,4.2,3.6,3.2,3.5,3.5,1,,0
8,0.8420263608,3,2,1,6,3,3,1,1,15.3277777777778,15,10,2,0,2016,3.7,3,3.5,3.8,4,3.8,4,3.3,3.2,3.9,3.5,1,,0
8,0.4425114085,1,2,9,8,1,3,1,0,14.5750000000000,15,11,0,0,2016,4,3.4,3.6,3.8,3,4.4,3.7,3.5,4.2,3.6,3.7,1,,0
8,0.1230003205,1,1,9,8,2,2,2,0,13.1000000000000,13,11,0,0,2016,3.9,3.6,3.9,3.5,3.5,3.2,3.5,3.9,3.3,3.5,3.7,1,,0
8,0.4510602799,1,2,1,6,3,3,1,0,14.6083333333333,15,9,1,0,2016,3.1,2.6,3.1,3,2.4,4.1,3,3.3,3,3,3.3,1,,0
8,0.0730837797,1,1,2,8,1,1,2,0,13.8750000000000,15,11,0,55,2016,3.4,2.7,3.3,4.2,3.8,3.9,3,3,3.4,3.3,2.3,1,,0
8,2.2732858421,1,1,2,8,2,2,2,0,14.0250000000000,13,11,0,55.22,2016,3.5,3.3,3.1,4.3,3.7,3.3,3.9,3.5,3.1,3,3.3,1,,0
